root@comp3134Winter2023:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
22:07:37.435112 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4277653852:4277653960, ack 1758399130, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 108
22:07:37.435217 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 108:252, ack 1, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 144
22:07:37.435271 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 252:288, ack 1, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 36
22:07:37.435414 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 288:508, ack 1, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 220
22:07:37.435487 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 508:544, ack 1, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 36
22:07:37.435523 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 544:748, ack 1, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 204
22:07:37.435596 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 748:784, ack 1, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 36
22:07:37.435616 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 784:980, ack 1, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 196
22:07:37.435706 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 980:1016, ack 1, win 501, options [nop,nop,TS val 3460357483 ecr 2410291600], length 36
22:07:37.438731 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 0, win 2047, options [nop,nop,TS val 2410291638 ecr 3460357475], length 0
22:07:37.438786 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 1016:2440, ack 1, win 501, options [nop,nop,TS val 3460357487 ecr 2410291638], length 1424
22:07:37.438927 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 2440:2628, ack 1, win 501, options [nop,nop,TS val 3460357487 ecr 2410291638], length 188
22:07:37.453698 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 980, win 2034, options [nop,nop,TS val 2410291648 ecr 3460357483], length 0
22:07:37.453698 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 1016, win 2047, options [nop,nop,TS val 2410291648 ecr 3460357483], length 0
22:07:37.453778 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 2628:3144, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 516
22:07:37.453972 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 3144:3332, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 188
22:07:37.454043 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 3332:3556, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 224
22:07:37.454095 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 3556:3592, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 36
22:07:37.454128 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 3592:3796, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 204
22:07:37.454161 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 3796:3832, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 36
22:07:37.454211 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 3832:4036, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 204
22:07:37.454266 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4036:4276, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 240
22:07:37.454321 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4276:4312, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 36
22:07:37.454349 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4312:4516, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 204
22:07:37.454421 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4516:4756, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 240
22:07:37.454481 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4756:4792, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 36
22:07:37.454505 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4792:4996, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 204
22:07:37.454567 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 4996:5236, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 240
22:07:37.454630 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 5236:5272, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 36
22:07:37.454680 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 5272:5476, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 204
22:07:37.454742 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 5476:5512, ack 1, win 501, options [nop,nop,TS val 3460357502 ecr 2410291648], length 36
22:07:37.454785 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 5512:5716, ack 1, win 501, options [nop,nop,TS val 3460357503 ecr 2410291648], length 204
22:07:37.471639 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 5236, win 1982, options [nop,nop,TS val 2410291665 ecr 3460357502], length 0
22:07:37.471640 IP 104.171.50.84.65337 > 147.182.152.46.22: Flags [.], ack 5236, win 2048, options [nop,nop,TS val 2410291665 ecr 3460357502], length 0
22:07:37.471714 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 5716:7912, ack 1, win 501, options [nop,nop,TS val 3460357519 ecr 2410291665], length 2196
22:07:37.472082 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 7912:8100, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 188
22:07:37.472251 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 8100:8136, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 36
22:07:37.472315 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 8136:8324, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 188
22:07:37.472365 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 8324:8360, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 36
22:07:37.472409 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 8360:8564, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 204
22:07:37.472451 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 8564:8600, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 36
22:07:37.472494 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 8600:8840, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 240
22:07:37.472571 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 8840:9080, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 240
22:07:37.472665 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 9080:9524, ack 1, win 501, options [nop,nop,TS val 3460357520 ecr 2410291665], length 444
22:07:37.472784 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 9524:10004, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 480
22:07:37.472835 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10004:10040, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 36
22:07:37.472874 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10040:10244, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 204
22:07:37.472915 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10244:10280, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 36
22:07:37.472954 IP 147.182.152.46.22 > 104.171.50.84.65337: Flags [P.], seq 10280:10484, ack 1, win 501, options [nop,nop,TS val 3460357521 ecr 2410291665], length 204
